#Wave_number	#Intensity
2724.015625	6522.253418
2722.837891	6389.640137
2721.659180	6520.079590
2720.479492	6565.648438
2719.300781	6700.255371
2718.122070	6798.777832
2716.942383	6907.865234
2715.762695	6932.144531
2714.583008	7075.075684
2713.402344	7056.947754
2712.222656	7250.646973
2711.041992	7304.502441
2709.861328	7407.041992
2708.680664	7532.835938
2707.499023	7470.192871
2706.318359	7672.125977
2705.136719	7734.329102
2703.955078	7800.742676
2702.773438	7822.710938
2701.591797	7692.388672
2700.409180	7729.169434
2699.226563	7922.398438
2698.043945	7587.068359
2696.861328	7723.187988
2695.678711	7483.099121
2694.495117	7418.462891
2693.311523	7518.627930
2692.127930	7320.937012
2690.944336	7298.596680
2689.760742	7155.907227
2688.576172	6914.040527
2687.391602	6896.000000
2686.207031	6694.355469
2685.022461	6703.788574
2683.837891	6702.668945
2682.652344	6319.749023
2681.466797	6268.076660
2680.281250	6292.334473
2679.095703	6346.100098
2677.909180	6201.697266
2676.723633	6204.876465
2675.537109	6047.900879
2674.350586	5897.298828
2673.164063	5959.510742
2671.976563	5861.628418
2670.790039	5890.131348
2669.602539	5705.966797
2668.415039	5692.382324
2667.226563	5666.173340
2666.039063	5639.972656
2664.850586	5554.865234
2663.662109	5490.823730
2662.473633	5401.562500
2661.285156	5486.885254
2660.096680	5399.756836
2658.907227	5361.011719
2657.717773	5305.462891
2656.528320	5342.405762
2655.338867	5341.512207
2654.148438	5237.672363
2652.958984	5125.464844
2651.768555	5349.333984
2650.578125	5159.448730
2649.386719	5150.187500
2648.196289	5090.548340
2647.004883	5247.109863
2645.813477	5011.200684
2644.622070	5136.250977
2643.430664	5059.871094
2642.238281	5086.291016
2641.045898	4976.391113
2639.853516	4933.623535
2638.661133	4951.665527
2637.468750	4961.316895
2636.275391	4824.266602
2635.083008	4961.751465
2633.889648	5023.770020
2632.695313	4903.535156
2631.501953	4980.202637
2630.307617	4862.108398
2629.114258	4934.569824
2627.919922	4810.242676
2626.724609	4828.272949
2625.530273	4823.279297
2624.334961	4858.038574
2623.140625	4754.725098
2621.945313	4917.063965
2620.749023	4790.772461
2619.553711	4806.696289
2618.357422	4849.790039
2617.162109	4692.221680
2615.964844	4804.280273
2614.768555	4841.083984
2613.572266	4727.465332
2612.375000	4695.342773
2611.177734	4646.524414
2609.980469	4608.162109
2608.783203	4720.121582
2607.584961	4752.726563
2606.387695	4733.147461
2605.189453	4715.661133
2603.991211	4710.698242
2602.791992	4770.398926
2601.593750	4694.520020
2600.394531	4708.328613
